row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
71687_74,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",74.0,81.4,2.20,slot,true,946445.71,82,5890.35,94,0.79,94,26.36,94,470.90,94,2379.24,94,849.07,94,2.12,94,0,94,0.32,82,-2.15,94,1.09,94,37069.57,94,1,21,4.49,94,2.83,94
71687_74,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",74.0,81.4,2.20,slot,false,308981.83,297,714.31,332,,,23.01,332,252.75,332,2794.70,332,830.45,332,1.83,332,,,0.31,297,,,1.06,332,6277.74,332,,,,,3.32,332
71687_76,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",76.0,83.6,5.00,mw,true,1129217.10,105,6212.45,123,1.62,123,34.72,123,416.92,123,2230.98,123,848.33,123,2.20,123,0,123,0.30,105,-1.92,123,1.01,123,41878.94,123,1.06,31,4.61,123,2.65,123
71687_76,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",76.0,83.6,5.00,mw,false,373764.93,795,977.39,895,,,25.11,893,222.28,895,3217.58,895,863.94,895,1.79,893,,,0.32,795,,,1.08,895,6491.93,895,,,,,3.67,895
71687_76,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",76.0,83.6,2.20,slot,true,1044829.95,36,3473.98,47,3.00,47,37.63,47,368.60,47,2097.74,47,833.20,47,1.87,47,0,47,0.35,36,-2.22,47,1,47,29649.28,47,1.13,16,4.21,47,2.53,47
71687_76,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",76.0,83.6,2.20,slot,false,182389.93,351,858.40,409,,,23.25,409,176.95,409,3607.36,409,885.24,409,1.75,409,,,0.32,351,,,1.07,409,4290.81,409,,,,,4.02,409
71687_78,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",78.0,85.8,5.00,mw,true,427478.62,101,2506.97,111,0.99,111,34.80,111,405.85,111,2321.46,111,892.59,111,2.30,111,0,111,0.32,101,-1.57,111,1.04,111,23465.20,111,1.13,15,4.83,111,2.60,111
71687_78,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",78.0,85.8,5.00,mw,false,344793.47,785,908.62,901,,,24.93,899,232.69,901,3285.91,901,883.42,901,1.90,899,,,0.33,785,,,1.07,901,6628.37,901,,,,,3.68,901
71687_78,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",78.0,85.8,2.20,slot,true,401246.73,46,2611.61,50,0.19,50,33.85,50,421.18,50,2453.87,50,951.69,50,2.34,50,0,50,0.28,46,-1.68,50,1.08,50,29736.72,50,1,5,5.42,50,2.60,50
71687_78,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",78.0,85.8,2.20,slot,false,536571.57,336,1090.11,382,,,28.98,380,247.65,382,2941.77,382,866.74,382,1.91,380,,,0.34,336,,,1.09,382,8305.58,382,,,,,3.39,382
71687_80,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",80.0,88.0,5.00,mw,true,330763.21,137,2312.36,155,1.00,155,29.86,155,427.31,155,2544.27,155,907.06,155,2.35,155,0,155,0.31,137,-0.69,155,1.09,155,20572.38,155,1,33,4.59,155,2.83,155
71687_80,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",80.0,88.0,5.00,mw,false,256412.37,717,679.62,860,,,25.17,860,221.88,860,3152.59,860,879.54,860,1.96,860,,,0.34,717,,,1.05,860,6004.92,860,,,,,3.53,860
71687_80,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",80.0,88.0,2.20,slot,true,271467.58,48,2376.58,52,1.07,52,32.19,52,419.31,52,2358.26,52,872.87,52,2.71,52,0,52,0.34,48,-1.07,52,1.04,52,17030.85,52,1,10,4.46,52,2.69,52
71687_80,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",80.0,88.0,2.20,slot,false,227736.69,344,497.65,407,,,20.48,407,218.15,407,3471.86,407,904.50,407,1.86,407,,,0.32,344,,,1.05,407,5017.48,407,,,,,3.75,407
