row,id,name,desc,rt.pct,rt,width,slice,stat,val
54803_6,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,6.0,15.0,5.00,mw,msms,86.0
54803_6,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,6.0,15.0,5.00,mw,apex,9527449.020000001
54803_6,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,6.0,15.0,5.00,mw,annot,13.0
54803_6,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,6.0,15.0,5.00,slot,msms,86.0
54803_6,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,6.0,15.0,5.00,slot,apex,9527449.020000001
54803_6,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,6.0,15.0,5.00,slot,annot,13.0
54803_8,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,8.0,20.0,5.00,mw,msms,341.0
54803_8,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,8.0,20.0,5.00,mw,apex,3.18532504786E8
54803_8,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,8.0,20.0,5.00,mw,annot,89.0
54803_8,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,8.0,20.0,5.00,slot,msms,341.0
54803_8,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,8.0,20.0,5.00,slot,apex,3.18532504786E8
54803_8,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,8.0,20.0,5.00,slot,annot,89.0
54803_10,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,10.0,25.0,5.00,mw,msms,399.0
54803_10,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,10.0,25.0,5.00,mw,apex,1.65933613891E9
54803_10,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,10.0,25.0,5.00,mw,annot,171.0
54803_10,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,10.0,25.0,5.00,slot,msms,399.0
54803_10,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,10.0,25.0,5.00,slot,apex,1.65933613891E9
54803_10,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,10.0,25.0,5.00,slot,annot,171.0
54803_12,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,12.0,30.0,5.00,mw,msms,422.0
54803_12,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,12.0,30.0,5.00,mw,apex,2.768337142253E10
54803_12,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,12.0,30.0,5.00,mw,annot,208.0
54803_12,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,12.0,30.0,5.00,slot,msms,422.0
54803_12,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,12.0,30.0,5.00,slot,apex,2.768337142253E10
54803_12,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,12.0,30.0,5.00,slot,annot,208.0
54803_14,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,14.0,35.0,5.00,mw,msms,430.0
54803_14,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,14.0,35.0,5.00,mw,apex,4.45378875574E10
54803_14,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,14.0,35.0,5.00,mw,annot,261.0
54803_14,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,14.0,35.0,5.00,slot,msms,430.0
54803_14,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,14.0,35.0,5.00,slot,apex,4.45378875574E10
54803_14,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,14.0,35.0,5.00,slot,annot,261.0
54803_16,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,16.0,40.0,5.00,mw,msms,419.0
54803_16,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,16.0,40.0,5.00,mw,apex,3.81964944138E10
54803_16,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,16.0,40.0,5.00,mw,annot,250.0
54803_16,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,16.0,40.0,5.00,slot,msms,419.0
54803_16,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,16.0,40.0,5.00,slot,apex,3.81964944138E10
54803_16,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,16.0,40.0,5.00,slot,annot,250.0
54803_18,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,18.0,45.0,5.00,mw,msms,439.0
54803_18,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,18.0,45.0,5.00,mw,apex,2.90004598619E10
54803_18,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,18.0,45.0,5.00,mw,annot,282.0
54803_18,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,18.0,45.0,5.00,slot,msms,439.0
54803_18,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,18.0,45.0,5.00,slot,apex,2.90004598619E10
54803_18,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,18.0,45.0,5.00,slot,annot,282.0
54803_20,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,20.0,50.0,5.00,mw,msms,416.0
54803_20,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,20.0,50.0,5.00,mw,apex,2.35471673859E10
54803_20,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,20.0,50.0,5.00,mw,annot,274.0
54803_20,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,20.0,50.0,5.00,slot,msms,416.0
54803_20,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,20.0,50.0,5.00,slot,apex,2.35471673859E10
54803_20,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,20.0,50.0,5.00,slot,annot,274.0
54803_22,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,22.0,55.0,5.00,mw,msms,404.0
54803_22,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,22.0,55.0,5.00,mw,apex,1.9709724934199997E10
54803_22,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,22.0,55.0,5.00,mw,annot,270.0
54803_22,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,22.0,55.0,5.00,slot,msms,404.0
54803_22,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,22.0,55.0,5.00,slot,apex,1.9709724934199997E10
54803_22,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,22.0,55.0,5.00,slot,annot,270.0
54803_24,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,24.0,60.0,5.00,mw,msms,436.0
54803_24,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,24.0,60.0,5.00,mw,apex,2.1235269822E10
54803_24,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,24.0,60.0,5.00,mw,annot,308.0
54803_24,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,24.0,60.0,5.00,slot,msms,436.0
54803_24,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,24.0,60.0,5.00,slot,apex,2.1235269822E10
54803_24,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,24.0,60.0,5.00,slot,annot,308.0
54803_26,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,26.0,65.0,5.00,mw,msms,400.0
54803_26,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,26.0,65.0,5.00,mw,apex,2.43144803395E10
54803_26,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,26.0,65.0,5.00,mw,annot,290.0
54803_26,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,26.0,65.0,5.00,slot,msms,400.0
54803_26,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,26.0,65.0,5.00,slot,apex,2.43144803395E10
54803_26,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,26.0,65.0,5.00,slot,annot,290.0
54803_28,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,28.0,70.0,5.00,mw,msms,395.0
54803_28,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,28.0,70.0,5.00,mw,apex,2.28213784962E10
54803_28,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,28.0,70.0,5.00,mw,annot,282.0
54803_28,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,28.0,70.0,5.00,slot,msms,395.0
54803_28,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,28.0,70.0,5.00,slot,apex,2.28213784962E10
54803_28,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,28.0,70.0,5.00,slot,annot,282.0
54803_30,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,30.0,75.0,5.00,mw,msms,399.0
54803_30,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,30.0,75.0,5.00,mw,apex,2.08661771718E10
