type,spec,msid,m/z,zscore,ri,ai
msms,ai_devi_example,105628430,115.244,0.5,0.85,327.37
msms,ai_devi_example,105626195,115.244,0.0,0,0
msms,ai_devi_example,105622773,115.244,0.0,0,0
msms,ai_devi_example,105599700,115.244,0.0,0,0
msms,ai_devi_example,105626405,115.244,0.0,0,0
msms,ai_devi_example,105615807,115.244,0.0,0,0
msms,ai_devi_example,105652140,115.244,0.0,0,0
msms,ai_devi_example,105630746,115.244,0.0,0,0
msms,ai_devi_example,105620706,115.244,0.0,0,0
msms,ai_devi_example,105616993,116.069,0.0,0,0
msms,ai_devi_example,105628430,116.069,0.0,0,0
msms,ai_devi_example,105626195,116.069,0.0,0,0
msms,ai_devi_example,105622773,116.069,0.6,1.49,467.68
msms,ai_devi_example,105599700,116.069,0.0,0,0
msms,ai_devi_example,105626405,116.069,0.0,0,0
msms,ai_devi_example,105615807,116.069,0.0,0,0
msms,ai_devi_example,105652140,116.069,0.0,0,0
msms,ai_devi_example,105630746,116.069,0.0,0,0
msms,ai_devi_example,105620706,116.069,0.0,0,0
msms,ai_devi_example,105616993,116.759,0.0,0,0
msms,ai_devi_example,105628430,116.759,0.0,0,0
msms,ai_devi_example,105626195,116.759,0.0,0,0
msms,ai_devi_example,105622773,116.759,0.0,0,0
msms,ai_devi_example,105599700,116.759,0.0,0,0
msms,ai_devi_example,105626405,116.759,0.0,0,0
msms,ai_devi_example,105615807,116.759,0.0,0,0
msms,ai_devi_example,105652140,116.759,0.0,0,0
msms,ai_devi_example,105630746,116.759,0.0,0,0
msms,ai_devi_example,105620706,116.759,1.3,0.88,17304.01
msms,ai_devi_example,105616993,117.782,0.0,0,0
msms,ai_devi_example,105628430,117.782,0.4,0.72,277.22
msms,ai_devi_example,105626195,117.782,0.0,0,0
msms,ai_devi_example,105622773,117.782,0.0,0,0
msms,ai_devi_example,105599700,117.782,0.0,0,0
msms,ai_devi_example,105626405,117.782,0.0,0,0
msms,ai_devi_example,105615807,117.782,0.0,0,0
msms,ai_devi_example,105652140,117.782,0.0,0,0
msms,ai_devi_example,105630746,117.782,0.0,0,0
msms,ai_devi_example,105620706,117.782,0.0,0,0
msms,ai_devi_example,105616993,118.027,0.0,0,0
msms,ai_devi_example,105628430,118.027,0.0,0,0
msms,ai_devi_example,105626195,118.027,0.0,0,0
msms,ai_devi_example,105622773,118.027,0.0,0,0
msms,ai_devi_example,105599700,118.027,0.5,0.66,319.86
msms,ai_devi_example,105626405,118.027,0.0,0,0
msms,ai_devi_example,105615807,118.027,0.0,0,0
msms,ai_devi_example,105652140,118.027,0.0,0,0
msms,ai_devi_example,105630746,118.027,0.0,0,0
msms,ai_devi_example,105620706,118.027,0.0,0,0
msms,ai_devi_example,105616993,120.081,0.5,2.60,524.55
msms,ai_devi_example,105628430,120.081,1.0,4.30,1654.19
msms,ai_devi_example,105626195,120.081,0.0,0,0
msms,ai_devi_example,105622773,120.081,1.6,11.61,3637.65
msms,ai_devi_example,105599700,120.081,0.0,0,0
msms,ai_devi_example,105626405,120.081,1.1,2.18,2123.12
msms,ai_devi_example,105615807,120.081,0.0,0,0
msms,ai_devi_example,105652140,120.081,0.0,0,0
msms,ai_devi_example,105630746,120.081,0.0,0,0
msms,ai_devi_example,105620706,120.081,0.0,0,0
msms,ai_devi_example,105616993,120.148,0.0,0,0
msms,ai_devi_example,105628430,120.148,0.0,0,0
msms,ai_devi_example,105626195,120.148,0.0,0,0
msms,ai_devi_example,105622773,120.148,0.0,0,0
msms,ai_devi_example,105599700,120.148,0.0,0,0
msms,ai_devi_example,105626405,120.148,0.0,0,0
msms,ai_devi_example,105615807,120.148,0.0,0,0
msms,ai_devi_example,105652140,120.148,0.0,0,0
msms,ai_devi_example,105630746,120.148,0.0,0,0
msms,ai_devi_example,105620706,120.148,1.2,0.76,14867.66
msms,ai_devi_example,105616993,120.453,0.5,1.53,309.04
msms,ai_devi_example,105628430,120.453,0.0,0,0
msms,ai_devi_example,105626195,120.453,0.0,0,0
msms,ai_devi_example,105622773,120.453,0.0,0,0
msms,ai_devi_example,105599700,120.453,0.0,0,0
msms,ai_devi_example,105626405,120.453,0.0,0,0
msms,ai_devi_example,105615807,120.453,0.0,0,0
msms,ai_devi_example,105652140,120.453,0.0,0,0
msms,ai_devi_example,105630746,120.453,0.0,0,0
msms,ai_devi_example,105620706,120.453,0.0,0,0
msms,ai_devi_example,105616993,121.084,0.0,0,0
msms,ai_devi_example,105628430,121.084,0.5,0.79,303.54
msms,ai_devi_example,105626195,121.084,0.0,0,0
msms,ai_devi_example,105622773,121.084,0.0,0,0
msms,ai_devi_example,105599700,121.084,0.0,0,0
msms,ai_devi_example,105626405,121.084,0.0,0,0
msms,ai_devi_example,105615807,121.084,0.0,0,0
msms,ai_devi_example,105652140,121.084,0.0,0,0
